,Parent,Code,Accounts for New T&Q,Account_Name,Account Code,State,Zip_Code,Territory,Cluster,Sub-Region,Named_Account,test,Named-Account Override,Region,City,Fortune_Number,Fortune,Industry,Employees,PYSales,Annual_Revenue_(M),Wallet_Share,Sub-Territory,Segment,New Industry,New Segment,Revenue Band
PetSmart,Total Accounts,11090,true,PetSmart,11090,AZ,85027,AZ,Southwest Cluster #1,Southwest,false,false,false,USA,Phoenix,376,true,Retail,3589,43397,6917,0.06,South,Mid Market,Consumer,Mid Market,"$5,000 - $15,000M"
Petroleum Geo-Services,Total Accounts,11089,true,Petroleum Geo-Services,11089,TX,77079,TX West,Texas Cluster #1,Texas,false,false,false,USA,Houston,0,false,Services,4666,856362,1253,0.96,South,Enterprise,Services,Enterprise,"$1,000 - $5,000M"
Petrobras America,Total Accounts,11088,true,Petrobras America,11088,TX,77042,TX West,Texas Cluster #1,Texas,false,false,false,USA,Houston,0,false,Oil & Gas,3557,266810,3968,0.83,West,Enterprise,Energy,Enterprise,"$1,000 - $5,000M"
Petra Industries,Total Accounts,11087,true,Petra Industries,11087,OK,73013,OK,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Edmond,0,false,Retail,927,104475,138,0.85,West,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
Petr-All Petroleum Consulting,Total Accounts,11086,true,Petr-All Petroleum Consulting,11086,NY,13214,NY,New York Cluster #1,New York,false,false,false,USA,De Witt,0,false,Retail,4163,7233,471.1,0.03,East,Mid Market,Consumer,Mid Market,"$100 - $1,000M"
PetFirst Healthcare,Total Accounts,11085,true,PetFirst Healthcare,11085,KY,47130,KY,Rust Belt Cluster #1,Rust Belt,false,false,false,USA,Jeffersonville,0,false,Health Insurance,560,33607,3.5,0.05,East,Mid Market,Insurance,Mid Market,$0 - $50M
Peterson Regional Medical Center,Total Accounts,11084,true,Peterson Regional Medical Center,11084,TX,78028,TX West,Texas Cluster #1,Texas,false,false,false,USA,Kerrville,0,false,Hospitals / Health Care,1627,91834,100,1,South,Enterprise,Healthcare,Enterprise,"$100 - $1,000M"
Peterson Manufacturing Company,Total Accounts,11083,true,Peterson Manufacturing Company,11083,MO,64030,MO,Plains Cluster #1,Plains,false,false,false,USA,Grandview,0,false,Manufacturing - Durables,3197,133968,325,0.96,East,Enterprise,Manufacturing,Enterprise,"$100 - $1,000M"
Peterson Inc.,Total Accounts,11082,true,Peterson Inc.,11082,UT,84404,UT,Plains Cluster #2,Plains,false,false,false,USA,Ogden,0,false,Manufacturing - Durables,2916,134235,23.8,0.99,South,Mid Market,Manufacturing,Mid Market,$0 - $50M
Peterson Brothers Construction,Total Accounts,11081,true,Peterson Brothers Construction,11081,CA,92821,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Brea,0,false,Services,1198,56275,35.9,0.13,West,Mid Market,Services,Mid Market,$0 - $50M
Peterson American Corporation,Total Accounts,11080,true,Peterson American Corporation,11080,MI,48034,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Southfield,0,false,Manufacturing - Durables,3522,17972,1.1,0.03,South,Mid Market,Manufacturing,Mid Market,$0 - $50M
PetersenDean,Total Accounts,11079,true,PetersenDean,11079,CA,95688,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Vacaville,0,false,Services,1362,69040,97,0.27,North,Mid Market,Services,Mid Market,$50 - $100M
Petersen Health Care,Total Accounts,11078,true,Petersen Health Care,11078,IL,61614,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Peoria,0,false,Hospitals / Health Care,4708,106179,214.4,0.46,South,Enterprise,Healthcare,Enterprise,"$100 - $1,000M"
Peter Piper Pizza,Total Accounts,11077,true,Peter Piper Pizza,11077,AZ,85027,AZ,Southwest Cluster #1,Southwest,false,false,false,USA,Phoenix,0,false,Restaurants,4701,73894,41.5,0.38,East,Mid Market,Consumer,Mid Market,$0 - $50M
PetEdge,Total Accounts,11076,true,PetEdge,11076,MA,01862,MA,NE Cluster #3,Northeast,false,false,false,USA,North Billerica,0,false,Consumer Products,1977,59780,17.4,0.26,West,Mid Market,Consumer,Mid Market,$0 - $50M
PETCO Animal Supplies,Total Accounts,11075,true,PETCO Animal Supplies,11075,CA,92121,CA,Southwest Cluster #2,Southwest,false,false,false,USA,San Diego,0,false,Retail,4129,758479,3732,0.78,West,Enterprise,Consumer,Enterprise,"$1,000 - $5,000M"
Pet360,Total Accounts,11074,true,Pet360,11074,DE,19462,DE,Mid-Atlantic Cluster #1,Mid-Atlantic,false,false,false,USA,Plymouth Meeting,0,false,Retail,1033,11177,0.21,1,South,Mid Market,Consumer,Mid Market,$0 - $50M
Pet Supermarket,Total Accounts,11073,true,Pet Supermarket,11073,FL,33323,FL,Southeast Cluster #1,Southeast,false,false,false,USA,Fort Lauderdale,0,false,Retail,4547,94310,198.7,0.52,South,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
Peruvian Connection,Total Accounts,11072,true,Peruvian Connection,11072,MO,66086,MO,Plains Cluster #1,Plains,false,false,false,USA,Tonganoxie,0,false,Retail,1741,113231,41.2,0.62,East,Mid Market,Consumer,Mid Market,$0 - $50M
Personify,Total Accounts,11071,true,Personify,11071,VA,22182,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Vienna,0,false,IT Services,3034,77799,21.3,0.32,East,Mid Market,Technology,Mid Market,$0 - $50M
PersonalizationMall.com,Total Accounts,11070,true,PersonalizationMall.com,11070,IL,60527,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Burr Ridge,0,false,Retail,4105,74519,7.5,0.6,North,Mid Market,Consumer,Mid Market,$0 - $50M
Personal-Touch Home Care,Total Accounts,11069,true,Personal-Touch Home Care,11069,NY,11361,NY,New York Cluster #1,New York,false,false,false,USA,Bayside,0,false,Hospitals / Health Care,4060,752211,743.8,0.9,West,Enterprise,Healthcare,Enterprise,"$100 - $1,000M"
Persona,Total Accounts,11068,true,Persona,11068,SD,57201,SD,Northwest Cluster #1,Northwest,false,false,false,USA,Watertown,0,false,Manufacturing - Durables,906,110058,15.3,0.75,North,Mid Market,Manufacturing,Mid Market,$0 - $50M
Pershing Yoakley & Associates,Total Accounts,11067,true,Pershing Yoakley & Associates,11067,TN,37919,TN,Rust Belt Cluster #1,Rust Belt,false,false,false,USA,Knoxville,0,false,Legal Services,542,96770,25,0.47,North,Mid Market,Services,Mid Market,$0 - $50M
Pershing Health System,Total Accounts,11066,true,Pershing Health System,11066,MO,64628,MO,Plains Cluster #1,Plains,false,false,false,USA,Brookfield,0,false,Hospitals / Health Care,2130,50203,11.6,0.99,South,Mid Market,Healthcare,Mid Market,$0 - $50M
Pershing,Total Accounts,11065,true,Pershing,11065,NY,07097,NY,New York Cluster #1,New York,false,false,false,USA,Jersey City,0,false,Financial Services,2654,72257,405,0.47,West,Enterprise,Finance,Enterprise,"$100 - $1,000M"
Perry Memorial Hospital,Total Accounts,11064,true,Perry Memorial Hospital,11064,IL,61356,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Princeton,0,false,Hospitals / Health Care,4480,83798,20.2,0.31,East,Mid Market,Healthcare,Mid Market,$0 - $50M
Perry Ellis International,Total Accounts,11063,true,Perry Ellis International,11063,FL,33172,FL,Southeast Cluster #1,Southeast,false,false,false,USA,Miami,0,false,Consumer Products,4320,699974,969.6,0.67,East,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
Perrigo Company,Total Accounts,11062,true,Perrigo Company,11062,MI,49010,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Allegan,653,true,Pharmaceuticals,3750,309257,3540,0.51,East,Enterprise,Healthcare,Enterprise,"$1,000 - $5,000M"
Perricone MD,Total Accounts,11061,true,Perricone MD,11061,CT,06450,CT,NE Cluster #2,Northeast,false,false,false,USA,Meriden,0,false,Retail,4051,39744,3.7,0.16,South,Mid Market,Consumer,Mid Market,$0 - $50M
Pernod Ricard USA,Total Accounts,11060,true,Pernod Ricard USA,11060,NY,10177,NY,New York Cluster #1,New York,false,false,false,USA,New York,0,false,Consumer Products,4547,292526,500,0.44,South,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
Permian Regional Medical Center,Total Accounts,11059,true,Permian Regional Medical Center,11059,TX,79714,TX West,Texas Cluster #1,Texas,false,false,false,USA,Andrews,0,false,Hospitals / Health Care,3485,74866,19.9,0.53,South,Mid Market,Healthcare,Mid Market,$0 - $50M
Perma-Fix Environmental Services,Total Accounts,11058,true,Perma-Fix Environmental Services,11058,GA,30350,GA,Southeast Cluster #1,Southeast,false,false,false,USA,Atlanta,0,false,Services,794,39744,127.5,0.17,North,Mid Market,Services,Mid Market,"$100 - $1,000M"
Perkins Eastman,Total Accounts,11057,true,Perkins Eastman,11057,NY,10003,NY,New York Cluster #1,New York,false,false,false,USA,New York,0,false,Professional Services,4755,82931,82.9,0.81,North,Mid Market,Services,Mid Market,$50 - $100M
Perkins Coie,Total Accounts,11056,true,Perkins Coie,11056,WA,98101,WA,Northwest Cluster #2,Northwest,false,false,false,USA,Seattle,0,false,Legal Services,4064,206902,547,0.24,East,Mid Market,Services,Mid Market,"$100 - $1,000M"
Perkins + Will,Total Accounts,11055,true,Perkins + Will,11055,IL,60611,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Chicago,0,false,Services,3344,110603,336,0.54,East,Enterprise,Services,Enterprise,"$100 - $1,000M"
Perkins & Marie Callender's,Total Accounts,11054,true,Perkins & Marie Callender's,11054,TN,38119,TN,Rust Belt Cluster #1,Rust Belt,false,false,false,USA,Memphis,0,false,Restaurants,4133,332855,629.2,0.67,East,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
PerkinElmer,Total Accounts,11053,true,PerkinElmer,11053,MA,02823,MA,NE Cluster #3,Northeast,false,false,false,USA,Waltham,920,true,Medical Devices,1303,18119,2166,0.04,West,Mid Market,Healthcare,Mid Market,"$1,000 - $5,000M"
Pericom Semiconductor,Total Accounts,11052,true,Pericom Semiconductor,11052,CA,95134,CA,Southwest Cluster #2,Southwest,false,false,false,USA,San Jose,0,false,Manufacturing - Durables,2200,86507,137.1,0.61,North,Enterprise,Manufacturing,Enterprise,"$100 - $1,000M"
Perfumania,Total Accounts,11051,true,Perfumania,11051,FL,33325,FL,Southeast Cluster #1,Southeast,false,false,false,USA,Sunrise,0,false,Consumer Products,1781,0,95.1,0,West,Mid Market,Consumer,Mid Market,$50 - $100M
Performance Food Group,Total Accounts,11050,true,Performance Food Group,11050,VA,23238,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Richmond,0,false,Services,2641,887142,12250,0.83,North,Enterprise,Services,Enterprise,"$5,000 - $15,000M"
Performance Contracting Group,Total Accounts,11049,true,Performance Contracting Group,11049,MO,66219,MO,Plains Cluster #1,Plains,false,false,false,USA,Lenexa,0,false,Professional Services,3370,111122,870.8,0.09,East,Mid Market,Services,Mid Market,"$100 - $1,000M"
Performance Bike,Total Accounts,11048,true,Performance Bike,11048,NC,27517,NC,Atlantic Coast Cluster #2,Atlantic Coast,false,false,false,USA,Chapel Hill,0,false,Retail,4198,245930,16.5,0.91,West,Mid Market,Consumer,Mid Market,$0 - $50M
Perfect Fit Industries,Total Accounts,11047,true,Perfect Fit Industries,11047,NC,28227,NC,Atlantic Coast Cluster #2,Atlantic Coast,false,false,false,USA,Charlotte,0,false,Manufacturing - Non-Durables,2803,129238,27,0.55,South,Mid Market,Manufacturing,Mid Market,$0 - $50M
Peregrine Pharmaceuticals,Total Accounts,11046,true,Peregrine Pharmaceuticals,11046,CA,92780,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Tustin,0,false,Manufacturing - Non-Durables,3979,149187,15.23,0.63,East,Mid Market,Manufacturing,Mid Market,$0 - $50M
Perdue Farms,Total Accounts,11045,true,Perdue Farms,11045,MD,21804,MD,Mid-Atlantic Cluster #1,Mid-Atlantic,false,false,false,USA,Salisbury,0,false,Consumer Products,685,71375,3400,0.46,South,Enterprise,Consumer,Enterprise,"$1,000 - $5,000M"
Percepta,Total Accounts,11044,true,Percepta,11044,MI,48126,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Dearborn,0,false,Professional Services,1818,152234,500,0.59,East,Enterprise,Services,Enterprise,"$100 - $1,000M"
Peralta Community College District,Total Accounts,11043,true,Peralta Community College District,11043,CA,94606,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Oakland,0,false,Higher Education,101,132380,15.34,0.61,East,Mid Market,Education,Mid Market,$0 - $50M
PepsiCo,Total Accounts,11042,true,PepsiCo,11042,NY,10577,NY,New York Cluster #1,New York,false,false,false,USA,Purchase,43,true,Consumer Products,3608,2497999,66415,0.94,East,Key Accounts,Consumer,Enterprise,"$15,000"
Pepsi-Cola General Bottlers,Total Accounts,11041,true,Pepsi-Cola General Bottlers,11041,OH,43219,OH,Midwest Cluster #2,Midwest,false,false,false,USA,Columbus,0,false,Manufacturing - Non-Durables,4014,296544,1840,0.33,West,Enterprise,Manufacturing,Enterprise,"$1,000 - $5,000M"
Pepsi MidAmerica,Total Accounts,11040,true,Pepsi MidAmerica,11040,IL,62959,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Marion,0,false,Consumer Products,1142,125018,76.9,1,West,Mid Market,Consumer,Mid Market,$50 - $100M
Peppermill Casinos,Total Accounts,11039,true,Peppermill Casinos,11039,NV,89509,NV,Southwest Cluster #1,Southwest,false,false,false,USA,Reno,0,false,Leisure,1244,132941,500,0.64,West,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
Pepper Hamilton,Total Accounts,11038,true,Pepper Hamilton,11038,PA,19103,PA,NE Cluster #1,Northeast,false,false,false,USA,Philadephia,0,false,Legal Services,3119,255559,500,0.22,North,Mid Market,Services,Mid Market,"$100 - $1,000M"
Pepper Construction,Total Accounts,11037,true,Pepper Construction,11037,IL,60610,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Chicago,0,false,Services,1163,3872,673.1,0.01,South,Mid Market,Services,Mid Market,"$100 - $1,000M"
Pepco Holdings,Total Accounts,11036,true,Pepco Holdings,11036,VA,20068,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Washington,561,true,Energy / Utilities,1891,114292,4384,0.78,South,Enterprise,Energy,Enterprise,"$1,000 - $5,000M"
Pep Boys,Total Accounts,11035,true,Pep Boys,11035,PA,19132,PA,NE Cluster #1,Northeast,false,false,false,USA,Philadelphia,945,true,Retail,417,108058,2102,0.45,West,Mid Market,Consumer,Mid Market,"$1,000 - $5,000M"
Peoria Park District,Total Accounts,11034,false,Peoria Park District,11034,IL,61614,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Peoria,0,false,Local,4300,152235,52.2,0.57,East,Mid Market,,Mid Market,$50 - $100M
PeoplesSouth Bank,Total Accounts,11033,true,PeoplesSouth Bank,11033,GA,39837,GA,Southeast Cluster #1,Southeast,false,false,false,USA,Colquitt,0,false,Banking,3937,97022,25.32,0.08,West,Mid Market,Banking,Mid Market,$0 - $50M
PeoplesBank,Total Accounts,11031,true,PeoplesBank,11031,MA,01040,MA,NE Cluster #3,Northeast,false,false,false,USA,Holyoke,0,false,Banking,2228,63634,123.1,0.13,West,Mid Market,Banking,Mid Market,"$100 - $1,000M"
Peoples Trust Company,Total Accounts,11030,true,Peoples Trust Company,11030,VT,05478,VT,NE Cluster #2,Northeast,false,false,false,USA,Saint Albans,0,false,Banking,4596,224346,12.41,0.85,North,Mid Market,Banking,Mid Market,$0 - $50M
Peoples Security Bank & Trust,Total Accounts,11029,true,Peoples Security Bank & Trust,11029,PA,18503,PA,NE Cluster #1,Northeast,false,false,false,USA,Scranton,0,false,Banking,2315,137632,49.13,0.92,West,Mid Market,Banking,Mid Market,$0 - $50M
Peoples Natural Gas,Total Accounts,11028,true,Peoples Natural Gas,11028,PA,15221,PA,NE Cluster #1,Northeast,false,false,false,USA,Wilkinsburg,0,false,Energy / Utilities,3204,205218,125.9,0.84,North,Enterprise,Energy,Enterprise,"$100 - $1,000M"
Peoples Federal Savings Bank,Total Accounts,11027,true,Peoples Federal Savings Bank,11027,IN,46706,IN,Midwest Cluster #1,Midwest,false,false,false,USA,Auburn,0,false,Banking,1929,127779,30.76,0.11,West,Mid Market,Banking,Mid Market,$0 - $50M
Peoples Bank,Total Accounts,11026,true,Peoples Bank,11026,IL,46321,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Munster,0,false,Banking,2350,64622,31.52,1,West,Mid Market,Banking,Mid Market,$0 - $50M
PeopleLink Staffing,Total Accounts,11025,true,PeopleLink Staffing,11025,IN,46617,IN,Midwest Cluster #1,Midwest,false,false,false,USA,South Bend,0,false,Professional Services,2437,51534,135,0.33,South,Enterprise,Services,Enterprise,"$100 - $1,000M"
Peoplefluent,Total Accounts,11024,true,Peoplefluent,11024,MA,02823,MA,NE Cluster #3,Northeast,false,false,false,USA,Waltham,0,false,IT Services,4391,129241,80,0.29,North,Mid Market,Technology,Mid Market,$50 - $100M
PeopleAdmin,Total Accounts,11023,true,PeopleAdmin,11023,TX,78746,TX West,Texas Cluster #1,Texas,false,false,false,USA,Austin,0,false,Services,638,29807,2.6,0.24,West,Mid Market,Services,Mid Market,$0 - $50M
"People, Inc",Total Accounts,11022,true,"People, Inc",11022,NY,14221,NY,New York Cluster #1,New York,false,false,false,USA,Williamsville,0,false,Hospitals / Health Care,398,146444,120.1,0.36,North,Mid Market,Healthcare,Mid Market,"$100 - $1,000M"
People's United Bank,Total Accounts,11021,true,People's United Bank,11021,CT,06601,CT,NE Cluster #2,Northeast,false,false,false,USA,Bridgeport,0,false,Banking,981,32876,1038,0.06,East,Mid Market,Banking,Mid Market,"$1,000 - $5,000M"
People's Bank Of Marietta,Total Accounts,11020,true,People's Bank Of Marietta,11020,WV,45750,WV,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Marietta,0,false,Banking,3401,52584,120.9,0.38,West,Enterprise,Banking,Enterprise,"$100 - $1,000M"
Pentucket Bank,Total Accounts,11019,true,Pentucket Bank,11019,MA,01830,MA,NE Cluster #3,Northeast,false,false,false,USA,Haverhill,0,false,Banking,493,127122,27.45,0.6,North,Mid Market,Banking,Mid Market,$0 - $50M
Pentec,Total Accounts,11018,true,Pentec,11018,MO,65806,MO,Plains Cluster #1,Plains,false,false,false,USA,Springfield,0,false,Professional Services,2025,61369,4.7,0.56,South,Mid Market,Services,Mid Market,$0 - $50M
Pentair,Total Accounts,11017,true,Pentair,11017,MN,55416,MN,Midwest Cluster #1,Midwest,false,false,false,USA,Minneapolis,0,false,Manufacturing - Durables,199,109231,7480,0.95,South,Mid Market,Manufacturing,Mid Market,"$5,000 - $15,000M"
Pentagon Federal Credit Union,Total Accounts,11016,true,Pentagon Federal Credit Union,11016,VA,22314,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Alexandria,0,false,Banking,2215,111547,648.4,0.84,East,Enterprise,Banking,Enterprise,"$100 - $1,000M"
Penta Building Group,Total Accounts,11015,true,Penta Building Group,11015,NV,89119,NV,Southwest Cluster #1,Southwest,false,false,false,USA,Las Vegas,0,false,Services,2728,102956,50.2,0.89,West,Mid Market,Services,Mid Market,$50 - $100M
Penske Truck Leasing,Total Accounts,11014,true,Penske Truck Leasing,11014,PA,19603,PA,NE Cluster #1,Northeast,false,true,false,USA,Reading,0,false,Services,820,21479,4000,0.02,East,Mid Market,Services,Mid Market,"$1,000 - $5,000M"
Penske Corporation,Total Accounts,11013,true,Penske Corporation,11013,MI,48302,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Bloomfield Hills,194,true,Retail,2169,114567,14969,0.9,West,Enterprise,Consumer,Enterprise,"$5,000 - $15,000M"
Pension Benefit Guaranty Corporation,Total Accounts,11012,false,Pension Benefit Guaranty Corporation,11012,VA,20005,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Washington,0,false,Federal,3946,154049,445,0.28,South,Enterprise,,Enterprise,"$100 - $1,000M"
Penobscot Community Health Center,Total Accounts,11011,true,Penobscot Community Health Center,11011,ME,04401,ME,NE Cluster #1,Northeast,false,false,false,USA,Bangor,0,false,Hospitals / Health Care,682,361516,18,0.85,North,Mid Market,Healthcare,Mid Market,$0 - $50M
PennyMac,Total Accounts,11010,true,PennyMac,11010,CA,93021,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Moorpark,0,false,Financial Services,2069,51141,470.7,0.04,North,Mid Market,Finance,Mid Market,"$100 - $1,000M"
Pennwell Publishing Company,Total Accounts,11009,true,Pennwell Publishing Company,11009,OK,74112,OK,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Tulsa,0,false,Media,2754,69782,81.1,0.18,South,Mid Market,Telecom,Mid Market,$50 - $100M
Pennsylvania Medical Society,Total Accounts,11008,true,Pennsylvania Medical Society,11008,PA,17111,PA,NE Cluster #1,Northeast,false,false,false,USA,Harrisburg,0,false,Hospitals / Health Care,4676,68061,9.256,0.68,North,Mid Market,Healthcare,Mid Market,$0 - $50M
Pennsylvania College of Health Sciences,Total Accounts,11007,true,Pennsylvania College of Health Sciences,11007,PA,17602,PA,NE Cluster #1,Northeast,false,false,false,USA,Lancaster,0,false,Higher Education,2220,62912,23.62,0.45,South,Mid Market,Education,Mid Market,$0 - $50M
Pennside Partners,Total Accounts,11006,true,Pennside Partners,11006,PA,19610,PA,NE Cluster #1,Northeast,false,false,false,USA,Wyomissing,0,false,Restaurants,2934,10959,2.2,0.05,West,Mid Market,Consumer,Mid Market,$0 - $50M
Pennoni Associates,Total Accounts,11005,true,Pennoni Associates,11005,PA,19104,PA,NE Cluster #1,Northeast,false,false,false,USA,Philidelphia,0,false,Professional Services,4203,208662,118.8,0.66,South,Enterprise,Services,Enterprise,"$100 - $1,000M"
Pennock Hospital,Total Accounts,11004,true,Pennock Hospital,11004,MI,49058,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Hastings,0,false,Hospitals / Health Care,3519,130331,59.05,0.26,East,Mid Market,Healthcare,Mid Market,$50 - $100M
Penncro Associates,Total Accounts,11003,true,Penncro Associates,11003,PA,18966,PA,NE Cluster #1,Northeast,false,false,false,USA,Southampton,0,false,Financial Services,3670,100235,41.3,0.64,East,Mid Market,Finance,Mid Market,$0 - $50M
Penn Virginia Corporation,Total Accounts,11002,true,Penn Virginia Corporation,11002,PA,19087,PA,NE Cluster #1,Northeast,false,false,false,USA,Radnor,0,false,Oil & Gas,743,191039,431.7,0.78,South,Enterprise,Energy,Enterprise,"$100 - $1,000M"
Penn United,Total Accounts,11001,true,Penn United,11001,PA,16023,PA,NE Cluster #1,Northeast,false,false,false,USA,Cabot,0,false,Manufacturing - Durables,382,97016,106.1,0.81,South,Mid Market,Manufacturing,Mid Market,"$100 - $1,000M"
Penn Treaty American Corp.,Total Accounts,11000,true,Penn Treaty American Corp.,11000,TX,75034,TX West,Texas Cluster #1,Texas,false,false,false,USA,Frisco,0,false,Insurance,3991,167487,17.2,0.36,South,Mid Market,Insurance,Mid Market,$0 - $50M
Penn State University,Total Accounts,10999,true,Penn State University,10999,PA,16802,PA,NE Cluster #1,Northeast,false,true,false,USA,University Park,0,false,Higher Education,2740,210701,5700,0.28,East,Enterprise,Education,Enterprise,"$5,000 - $15,000M"
Penn National Insurance,Total Accounts,10998,true,Penn National Insurance,10998,PA,17101,PA,NE Cluster #1,Northeast,false,false,false,USA,Harrisburg,0,false,Insurance,2957,248618,553.1,0.41,West,Enterprise,Insurance,Enterprise,"$100 - $1,000M"
Penn National Gaming,Total Accounts,10997,true,Penn National Gaming,10997,PA,19610,PA,NE Cluster #1,Northeast,false,true,false,USA,Wyomissing,740,true,Leisure,3862,849305,2919,0.75,North,Enterprise,Consumer,Enterprise,"$1,000 - $5,000M"
Penn Mutual Life Insurance,Total Accounts,10996,true,Penn Mutual Life Insurance,10996,PA,19044,PA,NE Cluster #1,Northeast,false,false,false,USA,Horsham,0,false,Insurance,3875,180455,1658,0.26,West,Enterprise,Insurance,Enterprise,"$1,000 - $5,000M"
Penn Highlands Dubois Regional Medical Center,Total Accounts,10995,true,Penn Highlands Dubois Regional Medical Center,10995,PA,15801,PA,NE Cluster #1,Northeast,false,false,false,USA,Du Bois,0,false,Hospitals / Health Care,103,64813,213.3,0.49,South,Mid Market,Healthcare,Mid Market,"$100 - $1,000M"
Penn Elk Regional Health Center,Total Accounts,10994,true,Penn Elk Regional Health Center,10994,PA,15857,PA,NE Cluster #1,Northeast,false,false,false,USA,Saint Marys,0,false,Hospitals / Health Care,1875,123534,77.46,0.86,North,Mid Market,Healthcare,Mid Market,$50 - $100M
Peninsula Regional Medical Center,Total Accounts,10993,true,Peninsula Regional Medical Center,10993,MD,21801,MD,Mid-Atlantic Cluster #1,Mid-Atlantic,false,false,false,USA,Salisbury,0,false,Hospitals / Health Care,1657,50410,380.4,0.05,North,Mid Market,Healthcare,Mid Market,"$100 - $1,000M"
Penhall Company,Total Accounts,10992,true,Penhall Company,10992,CA,92801,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Anaheim,0,false,Services,3731,100053,143,0.15,East,Mid Market,Services,Mid Market,"$100 - $1,000M"
Penford Corporation,Total Accounts,10991,true,Penford Corporation,10991,CO,80112,CO,Plains Cluster #1,Plains,false,false,false,USA,Centennial,0,false,Manufacturing - Non-Durables,3085,103036,361.4,0.82,West,Enterprise,Manufacturing,Enterprise,"$100 - $1,000M"
Pendum,Total Accounts,10990,true,Pendum,10990,IL,60126,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Elmhurst,0,false,Financial Services,1842,139037,500,0.78,North,Enterprise,Finance,Enterprise,"$100 - $1,000M"
Pendleton Woolen Mills,Total Accounts,10989,true,Pendleton Woolen Mills,10989,OR,97209,OR,Northwest Cluster #2,Northwest,false,false,false,USA,Portland,0,false,Manufacturing - Durables,871,63359,500,0.36,South,Enterprise,Manufacturing,Enterprise,"$100 - $1,000M"
Penda,Total Accounts,10988,true,Penda,10988,WI,53901,WI,Midwest Cluster #2,Midwest,false,false,false,USA,Portage,0,false,Manufacturing - Durables,5,104671,500,0.24,South,Mid Market,Manufacturing,Mid Market,"$100 - $1,000M"
Pencom Systems Incorporated,Total Accounts,10987,true,Pencom Systems Incorporated,10987,NY,11201,NY,New York Cluster #1,New York,false,false,false,USA,Brooklyn,0,false,IT Services,1144,22940,16.9,0.02,South,Mid Market,Technology,Mid Market,$0 - $50M
Pen-Air Federal Credit Union,Total Accounts,10986,true,Pen-Air Federal Credit Union,10986,FL,32514,FL,Southeast Cluster #1,Southeast,false,false,false,USA,Pensacola,0,false,Banking,629,75138,65.34,0.31,North,Mid Market,Banking,Mid Market,$50 - $100M
PEMCO,Total Accounts,10985,true,PEMCO,10985,WA,98109,WA,Northwest Cluster #2,Northwest,false,false,false,USA,Seattle,0,false,Insurance,1507,67270,450,0.56,East,Enterprise,Insurance,Enterprise,"$100 - $1,000M"
Pellerin Milnor,Total Accounts,10984,true,Pellerin Milnor,10984,LA,70062,LA,Southeast Cluster #2,Southeast,false,false,false,USA,Kenner,0,false,Manufacturing - Durables,3435,165237,55,0.67,North,Mid Market,Manufacturing,Mid Market,$50 - $100M
Pella Regional Health Center,Total Accounts,10983,true,Pella Regional Health Center,10983,IA,50219,IA,Plains Cluster #2,Plains,false,false,false,USA,Pella,0,false,Hospitals / Health Care,4354,91470,65.63,0.58,North,Mid Market,Healthcare,Mid Market,$50 - $100M
Pella Corporation,Total Accounts,10982,true,Pella Corporation,10982,IA,50219,IA,Plains Cluster #2,Plains,false,false,false,USA,Pella,0,false,Manufacturing - Durables,8,96727,1300,0.59,South,Mid Market,Manufacturing,Mid Market,"$1,000 - $5,000M"
