,Parent,Code,Zips,Zips Item,SubTerritory,Patch,Territory Parent,Parent Reassign,ParentCode
22555,VA,22555,22555,22555,West,Cold,VA,VA,US-VA
22601,VA,22601,22601,22601,North,Cold,VA,VA,US-VA
22603,VA,22603,22603,22603,West,Cold,VA,VA,US-VA
22604,VA,22604,22604,22604,South,Cold,VA,VA,US-VA
22611,VA,22611,22611,22611,East,Cold,VA,VA,US-VA
22645,VA,22645,22645,22645,West,Cold,VA,VA,US-VA
22701,VA,22701,22701,22701,North,Cold,VA,VA,US-VA
22727,VA,22727,22727,22727,East,Cold,VA,VA,US-VA
22801,VA,22801,22801,22801,West,Cold,VA,VA,US-VA
22807,VA,22807,22807,22807,South,Cold,VA,VA,US-VA
22812,VA,22812,22812,22812,East,Cold,VA,VA,US-VA
22902,VA,22902,22902,22902,West,Cold,VA,VA,US-VA
22903,VA,22903,22903,22903,South,Cold,VA,VA,US-VA
22904,VA,22904,22904,22904,East,Cold,VA,VA,US-VA
22908,VA,22908,22908,22908,West,Cold,VA,VA,US-VA
22911,VA,22911,22911,22911,North,Cold,VA,VA,US-VA
22939,VA,22939,22939,22939,East,Cold,VA,VA,US-VA
22942,VA,22942,22942,22942,North,Cold,VA,VA,US-VA
22958,VA,22958,22958,22958,South,Cold,VA,VA,US-VA
22980,VA,22980,22980,22980,East,Cold,VA,VA,US-VA
23005,VA,23005,23005,23005,South,Cold,VA,VA,US-VA
23059,VA,23059,23059,23059,West,Cold,VA,VA,US-VA
23060,VA,23060,23060,23060,South,Cold,VA,VA,US-VA
23103,VA,23103,23103,23103,North,Cold,VA,VA,US-VA
23111,VA,23111,23111,23111,South,Cold,VA,VA,US-VA
23116,VA,23116,23116,23116,North,Cold,VA,VA,US-VA
23149,VA,23149,23149,23149,South,Cold,VA,VA,US-VA
23168,VA,23168,23168,23168,East,Cold,VA,VA,US-VA
23185,VA,23185,23185,23185,West,Cold,VA,VA,US-VA
23187,VA,23187,23187,23187,North,Cold,VA,VA,US-VA
23219,VA,23219,23219,23219,South,Warm,VA,VA,US-VA
23220,VA,23220,23220,23220,North,Cold,VA,VA,US-VA
23225,VA,23225,23225,23225,North,Cold,VA,VA,US-VA
23226,VA,23226,23226,23226,East,Cold,VA,VA,US-VA
23227,VA,23227,23227,23227,East,Cold,VA,VA,US-VA
23228,VA,23228,23228,23228,West,Cold,VA,VA,US-VA
23229,VA,23229,23229,23229,West,Cold,VA,VA,US-VA
23230,VA,23230,23230,23230,North,Warm,VA,VA,US-VA
23231,VA,23231,23231,23231,South,Cold,VA,VA,US-VA
23235,VA,23235,23235,23235,East,Cold,VA,VA,US-VA
23236,VA,23236,23236,23236,North,Cold,VA,VA,US-VA
23237,VA,23237,23237,23237,East,Cold,VA,VA,US-VA
23238,VA,23238,23238,23238,West,Cold,VA,VA,US-VA
23261,VA,23261,23261,23261,East,Cold,VA,VA,US-VA
23294,VA,23294,23294,23294,West,Cold,VA,VA,US-VA
23298,VA,23298,23298,23298,South,Cold,VA,VA,US-VA
23320,VA,23320,23320,23320,West,Cold,VA,VA,US-VA
23321,VA,23321,23321,23321,East,Cold,VA,VA,US-VA
23410,VA,23410,23410,23410,West,Cold,VA,VA,US-VA
23430,VA,23430,23430,23430,North,Cold,VA,VA,US-VA
23434,VA,23434,23434,23434,South,Cold,VA,VA,US-VA
23450,VA,23450,23450,23450,East,Cold,VA,VA,US-VA
23452,VA,23452,23452,23452,West,Cold,VA,VA,US-VA
23453,VA,23453,23453,23453,East,Cold,VA,VA,US-VA
23454,VA,23454,23454,23454,West,Cold,VA,VA,US-VA
23455,VA,23455,23455,23455,South,Cold,VA,VA,US-VA
23462,VA,23462,23462,23462,North,Cold,VA,VA,US-VA
23463,VA,23463,23463,23463,South,Cold,VA,VA,US-VA
23502,VA,23502,23502,23502,East,Warm,VA,VA,US-VA
23505,VA,23505,23505,23505,South,Cold,VA,VA,US-VA
23507,VA,23507,23507,23507,East,Cold,VA,VA,US-VA
23510,VA,23510,23510,23510,West,Cold,VA,VA,US-VA
23602,VA,23602,23602,23602,North,Cold,VA,VA,US-VA
23604,VA,23604,23604,23604,South,Cold,VA,VA,US-VA
23606,VA,23606,23606,23606,East,Cold,VA,VA,US-VA
23607,VA,23607,23607,23607,East,Cold,VA,VA,US-VA
23661,VA,23661,23661,23661,North,Cold,VA,VA,US-VA
23666,VA,23666,23666,23666,South,Cold,VA,VA,US-VA
23669,VA,23669,23669,23669,North,Cold,VA,VA,US-VA
23801,VA,23801,23801,23801,South,Cold,VA,VA,US-VA
23805,VA,23805,23805,23805,West,Cold,VA,VA,US-VA
23821,VA,23821,23821,23821,North,Cold,VA,VA,US-VA
23834,VA,23834,23834,23834,South,Cold,VA,VA,US-VA
23851,VA,23851,23851,23851,East,Cold,VA,VA,US-VA
23860,VA,23860,23860,23860,West,Cold,VA,VA,US-VA
23875,VA,23875,23875,23875,North,Cold,VA,VA,US-VA
23909,VA,23909,23909,23909,East,Cold,VA,VA,US-VA
23970,VA,23970,23970,23970,West,Cold,VA,VA,US-VA
24011,VA,24011,24011,24011,North,Cold,VA,VA,US-VA
24012,VA,24012,24012,24012,South,Cold,VA,VA,US-VA
24014,VA,24014,24014,24014,North,Cold,VA,VA,US-VA
24015,VA,24015,24015,24015,South,Cold,VA,VA,US-VA
24017,VA,24017,24017,24017,West,Cold,VA,VA,US-VA
24018,VA,24018,24018,24018,North,Cold,VA,VA,US-VA
24019,VA,24019,24019,24019,North,Cold,VA,VA,US-VA
24022,VA,24022,24022,24022,East,Cold,VA,VA,US-VA
24055,VA,24055,24055,24055,West,Cold,VA,VA,US-VA
24060,VA,24060,24060,24060,North,Cold,VA,VA,US-VA
24061,VA,24061,24061,24061,West,Cold,VA,VA,US-VA
24077,VA,24077,24077,24077,North,Cold,VA,VA,US-VA
24112,VA,24112,24112,24112,South,Cold,VA,VA,US-VA
24141,VA,24141,24141,24141,East,Cold,VA,VA,US-VA
24148,VA,24148,24148,24148,West,Cold,VA,VA,US-VA
24151,VA,24151,24151,24151,North,Cold,VA,VA,US-VA
24153,VA,24153,24153,24153,South,Cold,VA,VA,US-VA
24201,VA,24201,24201,24201,East,Cold,VA,VA,US-VA
24202,VA,24202,24202,24202,West,Cold,VA,VA,US-VA
24203,VA,24203,24203,24203,North,Cold,VA,VA,US-VA
24211,VA,24211,24211,24211,South,Cold,VA,VA,US-VA
24212,VA,24212,24212,24212,East,Cold,VA,VA,US-VA
24293,VA,24293,24293,24293,West,Cold,VA,VA,US-VA
24333,VA,24333,24333,24333,North,Cold,VA,VA,US-VA
24382,VA,24382,24382,24382,East,Cold,VA,VA,US-VA
24422,VA,24422,24422,24422,West,Cold,VA,VA,US-VA
24450,VA,24450,24450,24450,North,Cold,VA,VA,US-VA
24501,VA,24501,24501,24501,South,Cold,VA,VA,US-VA
24502,VA,24502,24502,24502,North,Cold,VA,VA,US-VA
24504,VA,24504,24504,24504,North,Cold,VA,VA,US-VA
24517,VA,24517,24517,24517,South,Cold,VA,VA,US-VA
24541,VA,24541,24541,24541,East,Cold,VA,VA,US-VA
24592,VA,24592,24592,24592,South,Cold,VA,VA,US-VA
24614,VA,24614,24614,24614,East,Cold,VA,VA,US-VA
27929,VA,27929,27929,27929,South,Cold,VA,VA,US-VA
37642,VA,37642,37642,37642,East,Cold,VA,VA,US-VA
37660,VA,37660,37660,37660,South,Cold,VA,VA,US-VA
VA,Mid-Atlantic Cluster #2,US-VA,,,,,,,
24701,WV,24701,24701,24701,West,Cold,WV,WV,US-WV
24970,WV,24970,24970,24970,South,Cold,WV,WV,US-WV
25112,WV,25112,25112,25112,East,Cold,WV,WV,US-WV
25301,WV,25301,25301,25301,West,Cold,WV,WV,US-WV
25309,WV,25309,25309,25309,West,Cold,WV,WV,US-WV
25311,WV,25311,25311,25311,North,Cold,WV,WV,US-WV
25443,WV,25443,25443,25443,South,Cold,WV,WV,US-WV
25526,WV,25526,25526,25526,East,Cold,WV,WV,US-WV
25550,WV,25550,25550,25550,West,Cold,WV,WV,US-WV
25701,WV,25701,25701,25701,North,Cold,WV,WV,US-WV
25728,WV,25728,25728,25728,South,Cold,WV,WV,US-WV
25755,WV,25755,25755,25755,East,Cold,WV,WV,US-WV
26003,WV,26003,26003,26003,North,Cold,WV,WV,US-WV
26034,WV,26034,26034,26034,East,Cold,WV,WV,US-WV
26038,WV,26038,26038,26038,West,Cold,WV,WV,US-WV
26050,WV,26050,26050,26050,North,Cold,WV,WV,US-WV
26060,WV,26060,26060,26060,South,Cold,WV,WV,US-WV
26062,WV,26062,26062,26062,East,Cold,WV,WV,US-WV
26101,WV,26101,26101,26101,West,Cold,WV,WV,US-WV
26102,WV,26102,26102,26102,North,Cold,WV,WV,US-WV
26104,WV,26104,26104,26104,South,Cold,WV,WV,US-WV
26201,WV,26201,26201,26201,East,Cold,WV,WV,US-WV
26209,WV,26209,26209,26209,West,Cold,WV,WV,US-WV
26330,WV,26330,26330,26330,North,Cold,WV,WV,US-WV
26354,WV,26354,26354,26354,East,Cold,WV,WV,US-WV
26452,WV,26452,26452,26452,West,Cold,WV,WV,US-WV
26505,WV,26505,26505,26505,North,Cold,WV,WV,US-WV
26506,WV,26506,26506,26506,East,Cold,WV,WV,US-WV
26508,WV,26508,26508,26508,West,Cold,WV,WV,US-WV
26525,WV,26525,26525,26525,South,Cold,WV,WV,US-WV
26537,WV,26537,26537,26537,East,Cold,WV,WV,US-WV
26554,WV,26554,26554,26554,West,Cold,WV,WV,US-WV
26624,WV,26624,26624,26624,South,Cold,WV,WV,US-WV
26726,WV,26726,26726,26726,East,Cold,WV,WV,US-WV
26836,WV,26836,26836,26836,West,Cold,WV,WV,US-WV
26847,WV,26847,26847,26847,North,Cold,WV,WV,US-WV
41101,WV,41101,41101,41101,North,Cold,WV,WV,US-WV
43952,WV,43952,43952,43952,North,Cold,WV,WV,US-WV
WV,Mid-Atlantic Cluster #2,US-WV,,,,,,,
Mid-Atlantic Cluster #2,Mid-Atlantic,,,,,,,,
Mid-Atlantic,US East,S03,,,,,,,
US East,USA,R01,,,,,,,
29116,SC,29116,29116,29116,North,Cold,SC,SC,US-SC
29219,SC,29219,29219,29219,West,Cold,SC,SC,US-SC
29319,SC,29319,29319,29319,South,Cold,SC,SC,US-SC
29401,SC,29401,29401,29401,West,Cold,SC,SC,US-SC
29403,SC,29403,29403,29403,North,Cold,SC,SC,US-SC
29425,SC,29425,29425,29425,West,Cold,SC,SC,US-SC
29442,SC,29442,29442,29442,North,Cold,SC,SC,US-SC
29601,SC,29601,29601,29601,North,Cold,SC,SC,US-SC
29602,SC,29602,29602,29602,West,Cold,SC,SC,US-SC
29604,SC,29604,29604,29604,North,Cold,SC,SC,US-SC
29613,SC,29613,29613,29613,East,Cold,SC,SC,US-SC
29634,SC,29634,29634,29634,North,Cold,SC,SC,US-SC
29648,SC,29648,29648,29648,North,Cold,SC,SC,US-SC
29808,SC,29808,29808,29808,West,Cold,SC,SC,US-SC
29928,SC,29928,29928,29928,East,Cold,SC,SC,US-SC
29938,SC,29938,29938,29938,West,Cold,SC,SC,US-SC
30004,SC,30004,30004,30004,South,Cold,SC,SC,US-SC
30005,SC,30005,30005,30005,East,Warm,SC,SC,US-SC
30012,SC,30012,30012,30012,East,Cold,SC,SC,US-SC
30014,SC,30014,30014,30014,North,Cold,SC,SC,US-SC
30022,SC,30022,30022,30022,South,Warm,SC,SC,US-SC
30024,SC,30024,30024,30024,West,Cold,SC,SC,US-SC
30030,SC,30030,30030,30030,North,Cold,SC,SC,US-SC
30033,SC,30033,30033,30033,South,Cold,SC,SC,US-SC
30040,SC,30040,30040,30040,East,Cold,SC,SC,US-SC
30041,SC,30041,30041,30041,South,Cold,SC,SC,US-SC
30043,SC,30043,30043,30043,East,Cold,SC,SC,US-SC
30045,SC,30045,30045,30045,East,Cold,SC,SC,US-SC
30060,SC,30060,30060,30060,North,Cold,SC,SC,US-SC
30062,SC,30062,30062,30062,West,Cold,SC,SC,US-SC
30066,SC,30066,30066,30066,West,Cold,SC,SC,US-SC
30067,SC,30067,30067,30067,South,Cold,SC,SC,US-SC
30071,SC,30071,30071,30071,South,Warm,SC,SC,US-SC
30076,SC,30076,30076,30076,North,Warm,SC,SC,US-SC
30078,SC,30078,30078,30078,North,Cold,SC,SC,US-SC
30080,SC,30080,30080,30080,South,Cold,SC,SC,US-SC
30082,SC,30082,30082,30082,West,Cold,SC,SC,US-SC
30083,SC,30083,30083,30083,South,Cold,SC,SC,US-SC
30084,SC,30084,30084,30084,East,Cold,SC,SC,US-SC
30087,SC,30087,30087,30087,South,Cold,SC,SC,US-SC
30092,SC,30092,30092,30092,West,Hot,SC,SC,US-SC
30093,SC,30093,30093,30093,North,Cold,SC,SC,US-SC
30096,SC,30096,30096,30096,West,Warm,SC,SC,US-SC
30097,SC,30097,30097,30097,East,Warm,SC,SC,US-SC
30106,SC,30106,30106,30106,South,Cold,SC,SC,US-SC
30107,SC,30107,30107,30107,East,Cold,SC,SC,US-SC
30122,SC,30122,30122,30122,North,Cold,SC,SC,US-SC
30134,SC,30134,30134,30134,South,Cold,SC,SC,US-SC
30144,SC,30144,30144,30144,West,Cold,SC,SC,US-SC
30152,SC,30152,30152,30152,South,Cold,SC,SC,US-SC
30168,SC,30168,30168,30168,East,Cold,SC,SC,US-SC
30183,SC,30183,30183,30183,North,Cold,SC,SC,US-SC
30213,SC,30213,30213,30213,South,Cold,SC,SC,US-SC
30236,SC,30236,30236,30236,West,Cold,SC,SC,US-SC
30260,SC,30260,30260,30260,North,Cold,SC,SC,US-SC
30265,SC,30265,30265,30265,South,Cold,SC,SC,US-SC
30269,SC,30269,30269,30269,East,Cold,SC,SC,US-SC
30274,SC,30274,30274,30274,West,Cold,SC,SC,US-SC
30294,SC,30294,30294,30294,South,Cold,SC,SC,US-SC
30303,SC,30303,30303,30303,West,Hot,SC,SC,US-SC
30305,SC,30305,30305,30305,West,Hot,SC,SC,US-SC
30308,SC,30308,30308,30308,South,Cold,SC,SC,US-SC
30309,SC,30309,30309,30309,East,Hot,SC,SC,US-SC
30312,SC,30312,30312,30312,East,Cold,SC,SC,US-SC
30313,SC,30313,30313,30313,West,Cold,SC,SC,US-SC
30315,SC,30315,30315,30315,East,Cold,SC,SC,US-SC
30316,SC,30316,30316,30316,North,Cold,SC,SC,US-SC
30318,SC,30318,30318,30318,South,Cold,SC,SC,US-SC
30319,SC,30319,30319,30319,North,Warm,SC,SC,US-SC
30324,SC,30324,30324,30324,North,Cold,SC,SC,US-SC
30326,SC,30326,30326,30326,South,Hot,SC,SC,US-SC
30327,SC,30327,30327,30327,North,Cold,SC,SC,US-SC
30328,SC,30328,30328,30328,South,Hot,SC,SC,US-SC
30329,SC,30329,30329,30329,East,Cold,SC,SC,US-SC
30331,SC,30331,30331,30331,East,Cold,SC,SC,US-SC
30334,SC,30334,30334,30334,West,Cold,SC,SC,US-SC
30336,SC,30336,30336,30336,North,Cold,SC,SC,US-SC
30338,SC,30338,30338,30338,North,Cold,SC,SC,US-SC
30339,SC,30339,30339,30339,North,Hot,SC,SC,US-SC
30340,SC,30340,30340,30340,South,Cold,SC,SC,US-SC
30341,SC,30341,30341,30341,West,Cold,SC,SC,US-SC
30342,SC,30342,30342,30342,South,Warm,SC,SC,US-SC
30346,SC,30346,30346,30346,South,Warm,SC,SC,US-SC
30349,SC,30349,30349,30349,West,Cold,SC,SC,US-SC
30350,SC,30350,30350,30350,South,Warm,SC,SC,US-SC
30354,SC,30354,30354,30354,East,Cold,SC,SC,US-SC
30363,SC,30363,30363,30363,West,Cold,SC,SC,US-SC
30501,SC,30501,30501,30501,North,Cold,SC,SC,US-SC
30518,SC,30518,30518,30518,North,Cold,SC,SC,US-SC
30542,SC,30542,30542,30542,East,Cold,SC,SC,US-SC
30549,SC,30549,30549,30549,West,Cold,SC,SC,US-SC
30566,SC,30566,30566,30566,South,Cold,SC,SC,US-SC
30601,SC,30601,30601,30601,North,Cold,SC,SC,US-SC
30602,SC,30602,30602,30602,South,Cold,SC,SC,US-SC
30606,SC,30606,30606,30606,East,Cold,SC,SC,US-SC
30607,SC,30607,30607,30607,South,Cold,SC,SC,US-SC
30642,SC,30642,30642,30642,West,Cold,SC,SC,US-SC
30655,SC,30655,30655,30655,North,Cold,SC,SC,US-SC
30912,SC,30912,30912,30912,West,Cold,SC,SC,US-SC
SC,Atlantic Coast Cluster #1,US-SC,,,,,,,
Atlantic Coast Cluster #1,Atlantic Coast,,,,,,,,
27025,NC,27025,27025,27025,East,Cold,NC,NC,US-NC
27028,NC,27028,27028,27028,West,Cold,NC,NC,US-NC
27030,NC,27030,27030,27030,North,Cold,NC,NC,US-NC
27101,NC,27101,27101,27101,North,Cold,NC,NC,US-NC
27102,NC,27102,27102,27102,North,Cold,NC,NC,US-NC
27103,NC,27103,27103,27103,South,Cold,NC,NC,US-NC
27104,NC,27104,27104,27104,West,Cold,NC,NC,US-NC
27105,NC,27105,27105,27105,North,Cold,NC,NC,US-NC
27106,NC,27106,27106,27106,East,Cold,NC,NC,US-NC
27107,NC,27107,27107,27107,South,Cold,NC,NC,US-NC
27109,NC,27109,27109,27109,East,Cold,NC,NC,US-NC
27110,NC,27110,27110,27110,West,Cold,NC,NC,US-NC
27114,NC,27114,27114,27114,North,Cold,NC,NC,US-NC
27127,NC,27127,27127,27127,South,Cold,NC,NC,US-NC
27157,NC,27157,27157,27157,East,Cold,NC,NC,US-NC
27203,NC,27203,27203,27203,West,Cold,NC,NC,US-NC
27205,NC,27205,27205,27205,East,Cold,NC,NC,US-NC
27215,NC,27215,27215,27215,West,Cold,NC,NC,US-NC
27216,NC,27216,27216,27216,South,Cold,NC,NC,US-NC
27244,NC,27244,27244,27244,East,Cold,NC,NC,US-NC
27260,NC,27260,27260,27260,West,Cold,NC,NC,US-NC
27261,NC,27261,27261,27261,South,Cold,NC,NC,US-NC
27262,NC,27262,27262,27262,East,Cold,NC,NC,US-NC
27263,NC,27263,27263,27263,North,Cold,NC,NC,US-NC
27265,NC,27265,27265,27265,South,Cold,NC,NC,US-NC
27278,NC,27278,27278,27278,East,Cold,NC,NC,US-NC
27282,NC,27282,27282,27282,West,Cold,NC,NC,US-NC
27285,NC,27285,27285,27285,North,Cold,NC,NC,US-NC
27288,NC,27288,27288,27288,South,Cold,NC,NC,US-NC
27301,NC,27301,27301,27301,East,Cold,NC,NC,US-NC
27330,NC,27330,27330,27330,North,Cold,NC,NC,US-NC
27331,NC,27331,27331,27331,South,Cold,NC,NC,US-NC
27360,NC,27360,27360,27360,East,Cold,NC,NC,US-NC
27401,NC,27401,27401,27401,East,Cold,NC,NC,US-NC
27403,NC,27403,27403,27403,North,Cold,NC,NC,US-NC
27406,NC,27406,27406,27406,South,Cold,NC,NC,US-NC
27407,NC,27407,27407,27407,West,Cold,NC,NC,US-NC
27408,NC,27408,27408,27408,North,Warm,NC,NC,US-NC
27409,NC,27409,27409,27409,East,Cold,NC,NC,US-NC
27410,NC,27410,27410,27410,East,Cold,NC,NC,US-NC
27411,NC,27411,27411,27411,West,Cold,NC,NC,US-NC
27420,NC,27420,27420,27420,North,Cold,NC,NC,US-NC
27511,NC,27511,27511,27511,South,Cold,NC,NC,US-NC
27513,NC,27513,27513,27513,South,Warm,NC,NC,US-NC
27514,NC,27514,27514,27514,South,Cold,NC,NC,US-NC
27517,NC,27517,27517,27517,West,Cold,NC,NC,US-NC
27518,NC,27518,27518,27518,South,Cold,NC,NC,US-NC
27519,NC,27519,27519,27519,East,Cold,NC,NC,US-NC
27524,NC,27524,27524,27524,West,Cold,NC,NC,US-NC
27525,NC,27525,27525,27525,North,Cold,NC,NC,US-NC
27526,NC,27526,27526,27526,South,Cold,NC,NC,US-NC
27529,NC,27529,27529,27529,East,Cold,NC,NC,US-NC
27534,NC,27534,27534,27534,West,Cold,NC,NC,US-NC
27536,NC,27536,27536,27536,North,Cold,NC,NC,US-NC
27560,NC,27560,27560,27560,East,Cold,NC,NC,US-NC
27565,NC,27565,27565,27565,East,Cold,NC,NC,US-NC
27577,NC,27577,27577,27577,West,Cold,NC,NC,US-NC
27587,NC,27587,27587,27587,North,Cold,NC,NC,US-NC
27596,NC,27596,27596,27596,South,Cold,NC,NC,US-NC
27597,NC,27597,27597,27597,East,Cold,NC,NC,US-NC
27599,NC,27599,27599,27599,West,Cold,NC,NC,US-NC
27601,NC,27601,27601,27601,North,Cold,NC,NC,US-NC
27603,NC,27603,27603,27603,South,Cold,NC,NC,US-NC
27604,NC,27604,27604,27604,West,Warm,NC,NC,US-NC
27605,NC,27605,27605,27605,East,Cold,NC,NC,US-NC
27606,NC,27606,27606,27606,West,Cold,NC,NC,US-NC
27607,NC,27607,27607,27607,West,Cold,NC,NC,US-NC
27608,NC,27608,27608,27608,North,Cold,NC,NC,US-NC
27609,NC,27609,27609,27609,South,Cold,NC,NC,US-NC
27610,NC,27610,27610,27610,North,Cold,NC,NC,US-NC
27611,NC,27611,27611,27611,East,Cold,NC,NC,US-NC
27612,NC,27612,27612,27612,West,Cold,NC,NC,US-NC
27615,NC,27615,27615,27615,West,Cold,NC,NC,US-NC
27616,NC,27616,27616,27616,North,Cold,NC,NC,US-NC
27617,NC,27617,27617,27617,North,Cold,NC,NC,US-NC
27695,NC,27695,27695,27695,West,Cold,NC,NC,US-NC
27699,NC,27699,27699,27699,North,Cold,NC,NC,US-NC
27701,NC,27701,27701,27701,West,Cold,NC,NC,US-NC
27702,NC,27702,27702,27702,South,Cold,NC,NC,US-NC
27703,NC,27703,27703,27703,East,Warm,NC,NC,US-NC
27704,NC,27704,27704,27704,North,Cold,NC,NC,US-NC
27705,NC,27705,27705,27705,South,Cold,NC,NC,US-NC
27707,NC,27707,27707,27707,West,Cold,NC,NC,US-NC
27708,NC,27708,27708,27708,South,Cold,NC,NC,US-NC
27709,NC,27709,27709,27709,East,Cold,NC,NC,US-NC
27712,NC,27712,27712,27712,West,,NC,NC,US-NC
27713,NC,27713,27713,27713,North,Cold,NC,NC,US-NC
27801,NC,27801,27801,27801,East,Cold,NC,NC,US-NC
27804,NC,27804,27804,27804,West,Cold,NC,NC,US-NC
27824,NC,27824,27824,27824,North,Cold,NC,NC,US-NC
27834,NC,27834,27834,27834,South,Cold,NC,NC,US-NC
27835,NC,27835,27835,27835,East,Cold,NC,NC,US-NC
27858,NC,27858,27858,27858,West,Cold,NC,NC,US-NC
27870,NC,27870,27870,27870,North,Cold,NC,NC,US-NC
27886,NC,27886,27886,27886,South,Cold,NC,NC,US-NC
27889,NC,27889,27889,27889,East,Cold,NC,NC,US-NC
27893,NC,27893,27893,27893,East,Cold,NC,NC,US-NC
27909,NC,27909,27909,27909,West,Cold,NC,NC,US-NC
27932,NC,27932,27932,27932,East,Cold,NC,NC,US-NC
27959,NC,27959,27959,27959,West,Cold,NC,NC,US-NC
28001,NC,28001,28001,28001,North,Cold,NC,NC,US-NC
28002,NC,28002,28002,28002,South,Cold,NC,NC,US-NC
28025,NC,28025,28025,28025,East,Cold,NC,NC,US-NC
28027,NC,28027,28027,28027,North,Cold,NC,NC,US-NC
28036,NC,28036,28036,28036,East,Cold,NC,NC,US-NC
28037,NC,28037,28037,28037,West,Cold,NC,NC,US-NC
28052,NC,28052,28052,28052,North,Cold,NC,NC,US-NC
28053,NC,28053,28053,28053,South,Cold,NC,NC,US-NC
28054,NC,28054,28054,28054,East,Cold,NC,NC,US-NC
28072,NC,28072,28072,28072,North,Cold,NC,NC,US-NC
28078,NC,28078,28078,28078,South,Cold,NC,NC,US-NC
28081,NC,28081,28081,28081,North,Cold,NC,NC,US-NC
28101,NC,28101,28101,28101,South,Cold,NC,NC,US-NC
28105,NC,28105,28105,28105,East,Cold,NC,NC,US-NC
28117,NC,28117,28117,28117,South,Cold,NC,NC,US-NC
28120,NC,28120,28120,28120,East,Cold,NC,NC,US-NC
28139,NC,28139,28139,28139,West,Cold,NC,NC,US-NC
28144,NC,28144,28144,28144,South,Cold,NC,NC,US-NC
28145,NC,28145,28145,28145,East,Cold,NC,NC,US-NC
28146,NC,28146,28146,28146,West,Cold,NC,NC,US-NC
28150,NC,28150,28150,28150,North,Cold,NC,NC,US-NC
28166,NC,28166,28166,28166,East,Cold,NC,NC,US-NC
28173,NC,28173,28173,28173,West,Cold,NC,NC,US-NC
28201,NC,28201,28201,28201,North,Cold,NC,NC,US-NC
28202,NC,28202,28202,28202,South,Warm,NC,NC,US-NC
28203,NC,28203,28203,28203,South,Cold,NC,NC,US-NC
28205,NC,28205,28205,28205,South,Cold,NC,NC,US-NC
28206,NC,28206,28206,28206,East,Cold,NC,NC,US-NC
28207,NC,28207,28207,28207,West,Cold,NC,NC,US-NC
28208,NC,28208,28208,28208,North,Cold,NC,NC,US-NC
28209,NC,28209,28209,28209,North,Cold,NC,NC,US-NC
28210,NC,28210,28210,28210,East,Cold,NC,NC,US-NC
28211,NC,28211,28211,28211,South,Warm,NC,NC,US-NC
28212,NC,28212,28212,28212,West,Cold,NC,NC,US-NC
28215,NC,28215,28215,28215,South,Cold,NC,NC,US-NC
28216,NC,28216,28216,28216,East,Cold,NC,NC,US-NC
28217,NC,28217,28217,28217,West,Warm,NC,NC,US-NC
28223,NC,28223,28223,28223,West,Cold,NC,NC,US-NC
28226,NC,28226,28226,28226,North,Cold,NC,NC,US-NC
28227,NC,28227,28227,28227,South,Cold,NC,NC,US-NC
28255,NC,28255,28255,28255,West,Cold,NC,NC,US-NC
28262,NC,28262,28262,28262,North,Cold,NC,NC,US-NC
28269,NC,28269,28269,28269,North,Cold,NC,NC,US-NC
28273,NC,28273,28273,28273,North,Warm,NC,NC,US-NC
28277,NC,28277,28277,28277,West,Warm,NC,NC,US-NC
28301,NC,28301,28301,28301,North,Cold,NC,NC,US-NC
28304,NC,28304,28304,28304,South,Cold,NC,NC,US-NC
28306,NC,28306,28306,28306,East,Cold,NC,NC,US-NC
28315,NC,28315,28315,28315,North,Cold,NC,NC,US-NC
28328,NC,28328,28328,28328,South,Cold,NC,NC,US-NC
28334,NC,28334,28334,28334,West,Cold,NC,NC,US-NC
28337,NC,28337,28337,28337,South,Cold,NC,NC,US-NC
28352,NC,28352,28352,28352,West,Cold,NC,NC,US-NC
28358,NC,28358,28358,28358,South,Cold,NC,NC,US-NC
28365,NC,28365,28365,28365,East,Cold,NC,NC,US-NC
28366,NC,28366,28366,28366,North,Cold,NC,NC,US-NC
28372,NC,28372,28372,28372,South,Cold,NC,NC,US-NC
28374,NC,28374,28374,28374,East,Cold,NC,NC,US-NC
28376,NC,28376,28376,28376,South,Cold,NC,NC,US-NC
28387,NC,28387,28387,28387,East,Cold,NC,NC,US-NC
28398,NC,28398,28398,28398,West,Cold,NC,NC,US-NC
28401,NC,28401,28401,28401,North,Cold,NC,NC,US-NC
28403,NC,28403,28403,28403,West,Cold,NC,NC,US-NC
28405,NC,28405,28405,28405,East,Cold,NC,NC,US-NC
28429,NC,28429,28429,28429,North,Cold,NC,NC,US-NC
28461,NC,28461,28461,28461,South,Cold,NC,NC,US-NC
28466,NC,28466,28466,28466,East,Cold,NC,NC,US-NC
28501,NC,28501,28501,28501,West,Cold,NC,NC,US-NC
28503,NC,28503,28503,28503,North,Cold,NC,NC,US-NC
28504,NC,28504,28504,28504,South,Cold,NC,NC,US-NC
28540,NC,28540,28540,28540,East,Cold,NC,NC,US-NC
28546,NC,28546,28546,28546,West,Cold,NC,NC,US-NC
28557,NC,28557,28557,28557,North,Cold,NC,NC,US-NC
28560,NC,28560,28560,28560,South,Cold,NC,NC,US-NC
28570,NC,28570,28570,28570,East,Cold,NC,NC,US-NC
28601,NC,28601,28601,28601,West,Cold,NC,NC,US-NC
28602,NC,28602,28602,28602,East,Cold,NC,NC,US-NC
